TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION
trueAlign_appraisal,id,1
trueAlign_appraisalattachment,id,1
trueAlign_appraisalitem,id,1
trueAlign_appraisalworkflow,id,1
trueAlign_attendance,id,1
trueAlign_clientprofile,id,1
truealign_comment_attachment,id,1
trueAlign_compoffrequest,id,1
trueAlign_conferenceroom,id,1
trueAlign_globalupdate,id,1
trueAlign_holiday,id,1
trueAlign_layoutpreference,id,1
trueAlign_leaveallocation,id,1
trueAlign_leavepolicy,id,1
trueAlign_leaverequest,id,1
trueAlign_leaverequesthistory,id,1
trueAlign_leavetype,id,1
trueAlign_notification,id,1
trueAlign_officelocation,id,1
trueAlign_roombooking,id,1
trueAlign_sessionactivity,id,1
trueAlign_shiftassignment,id,1
trueAlign_shiftconflict,id,1
trueAlign_shiftmaster,id,1
trueAlign_shiftvalidationrule,id,1
trueAlign_statuslog,id,1
trueAlign_subscription,id,1
trueAlign_support,id,1
trueAlign_support_cc_users,id,1
trueAlign_systemerror,id,1
trueAlign_systemusage,id,1
trueAlign_ticketactivity,id,1
trueAlign_ticketattachment,id,1
trueAlign_ticketcomment,id,1
trueAlign_useractionlog,id,1
trueAlign_userdetails,id,1
trueAlign_userleavebalance,id,1
trueAlign_usersession,id,1
