TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA	COLUMN_COMMENT
auth_group	id	int	NO	NULL	PRI	auto_increment	
auth_group	name	varchar(150)	NO	NULL	UNI		
auth_group_permissions	id	bigint	NO	NULL	PRI	auto_increment	
auth_group_permissions	group_id	int	NO	NULL	MUL		
auth_group_permissions	permission_id	int	NO	NULL	MUL		
auth_permission	id	int	NO	NULL	PRI	auto_increment	
auth_permission	name	varchar(255)	NO	NULL			
auth_permission	content_type_id	int	NO	NULL	MUL		
auth_permission	codename	varchar(100)	NO	NULL			
auth_user	id	int	NO	NULL	PRI	auto_increment	
auth_user	password	varchar(128)	NO	NULL			
auth_user	last_login	datetime(6)	YES	NULL			
auth_user	is_superuser	tinyint(1)	NO	NULL			
auth_user	username	varchar(150)	NO	NULL	UNI		
auth_user	first_name	varchar(150)	NO	NULL			
auth_user	last_name	varchar(150)	NO	NULL			
auth_user	email	varchar(254)	NO	NULL			
auth_user	is_staff	tinyint(1)	NO	NULL			
auth_user	is_active	tinyint(1)	NO	NULL			
auth_user	date_joined	datetime(6)	NO	NULL			
auth_user_groups	id	bigint	NO	NULL	PRI	auto_increment	
auth_user_groups	user_id	int	NO	NULL	MUL		
auth_user_groups	group_id	int	NO	NULL	MUL		
auth_user_user_permissions	id	bigint	NO	NULL	PRI	auto_increment	
auth_user_user_permissions	user_id	int	NO	NULL	MUL		
auth_user_user_permissions	permission_id	int	NO	NULL	MUL		
django_admin_log	id	int	NO	NULL	PRI	auto_increment	
django_admin_log	action_time	datetime(6)	NO	NULL			
django_admin_log	object_id	longtext	YES	NULL			
django_admin_log	object_repr	varchar(200)	NO	NULL			
django_admin_log	action_flag	smallint unsigned	NO	NULL			
django_admin_log	change_message	longtext	NO	NULL			
django_admin_log	content_type_id	int	YES	NULL	MUL		
django_admin_log	user_id	int	NO	NULL	MUL		
django_celery_beat_clockedschedule	id	int	NO	NULL	PRI	auto_increment	
django_celery_beat_clockedschedule	clocked_time	datetime(6)	NO	NULL			
django_celery_beat_crontabschedule	id	int	NO	NULL	PRI	auto_increment	
django_celery_beat_crontabschedule	minute	varchar(240)	NO	NULL			
django_celery_beat_crontabschedule	hour	varchar(96)	NO	NULL			
django_celery_beat_crontabschedule	day_of_week	varchar(64)	NO	NULL			
django_celery_beat_crontabschedule	day_of_month	varchar(124)	NO	NULL			
django_celery_beat_crontabschedule	month_of_year	varchar(64)	NO	NULL			
django_celery_beat_crontabschedule	timezone	varchar(63)	NO	NULL			
django_celery_beat_intervalschedule	id	int	NO	NULL	PRI	auto_increment	
