table_name,column_name,referenced_table,referenced_column,constraint_name
trueAlign_appraisal,manager_id,auth_user,id,trueAlign_appraisal_manager_id_3ea4d24d_fk_auth_user_id
trueAlign_appraisal,user_id,auth_user,id,trueAlign_appraisal_user_id_1e4892d0_fk_auth_user_id
trueAlign_appraisalattachment,appraisal_id,trueAlign_appraisal,id,trueAlign_appraisala_appraisal_id_94991c7b_fk_trueAlign
trueAlign_appraisalattachment,uploaded_by_id,auth_user,id,trueAlign_appraisala_uploaded_by_id_d8366266_fk_auth_user
trueAlign_appraisalitem,appraisal_id,trueAlign_appraisal,id,trueAlign_appraisali_appraisal_id_bece5be9_fk_trueAlign
trueAlign_appraisalworkflow,action_by_id,auth_user,id,trueAlign_appraisalw_action_by_id_1c58029c_fk_auth_user
trueAlign_appraisalworkflow,appraisal_id,trueAlign_appraisal,id,trueAlign_appraisalw_appraisal_id_1184f4fa_fk_trueAlign
trueAlign_attendance,first_session_id,trueAlign_usersession,id,fk_first_session
trueAlign_attendance,last_session_id,trueAlign_usersession,id,fk_last_session
trueAlign_attendance,modified_by_id,auth_user,id,trueAlign_attendance_modified_by_id_153336d2_fk_auth_user_id
trueAlign_attendance,shift_id,trueAlign_shiftmaster,id,trueAlign_attendance_shift_id_72809dfc_fk_trueAlign
trueAlign_attendance,user_id,auth_user,id,trueAlign_attendance_user_id_d8115814_fk_auth_user_id
trueAlign_clientprofile,user_id,auth_user,id,fk_clientprofile_user
truealign_comment_attachment,comment_id,trueAlign_ticketcomment,id,fk_comment_attachment_comment
truealign_comment_attachment,comment_id,trueAlign_ticketcomment,id,truealign_comment_at_comment_id_ea271478_fk_trueAlign
truealign_comment_attachment,ticket_activity_id,trueAlign_ticketactivity,id,fk_comment_attachment_activity
truealign_comment_attachment,ticket_activity_id,trueAlign_ticketactivity,id,truealign_comment_at_ticket_activity_id_3c828dc4_fk_trueAlign
truealign_comment_attachment,uploaded_by_id,auth_user,id,fk_comment_attachment_user
truealign_comment_attachment,uploaded_by_id,auth_user,id,truealign_comment_at_uploaded_by_id_5f77739f_fk_auth_user
trueAlign_compoffrequest,approver_id,auth_user,id,trueAlign_compoffrequest_approver_id_3638a657_fk_auth_user_id
trueAlign_compoffrequest,user_id,auth_user,id,trueAlign_compoffrequest_user_id_285921bf_fk_auth_user_id
trueAlign_globalupdate,managed_by_id,auth_user,id,trueAlign_globalupdate_managed_by_id_4a1205f1_fk_auth_user_id
trueAlign_globalupdate,managed_by_id,auth_user,id,fk_globalupdate_managed_by
trueAlign_leaveallocation,leave_type_id,trueAlign_leavetype,id,trueAlign_leavealloc_leave_type_id_a50a7eb3_fk_trueAlign
trueAlign_leaveallocation,policy_id,trueAlign_leavepolicy,id,trueAlign_leavealloc_policy_id_9dbff9f8_fk_trueAlign
trueAlign_leavepolicy,created_by,auth_user,id,fk_leavepolicy_created_by
trueAlign_leavepolicy,group_id,auth_group,id,trueAlign_leavepolicy_group_id_09217772_fk_auth_group_id
trueAlign_leaverequest,approver_id,auth_user,id,trueAlign_leaverequest_approver_id_0a10ae72_fk_auth_user_id
trueAlign_leaverequest,leave_type_id,trueAlign_leavetype,id,trueAlign_leavereque_leave_type_id_71691a23_fk_trueAlign
trueAlign_leaverequest,user_id,auth_user,id,trueAlign_leaverequest_user_id_e0803633_fk_auth_user_id
trueAlign_notification,recipient_id,auth_user,id,trueAlign_notification_recipient_id_58ebd476_fk_auth_user_id
trueAlign_sessionactivity,session_id,trueAlign_usersession,id,fk_sessionactivity_session
trueAlign_sessionactivity,user_id,auth_user,id,fk_sessionactivity_user
trueAlign_shiftassignment,approved_by,auth_user,id,fk_shiftassignment_approved_by
trueAlign_shiftassignment,shift_id,trueAlign_shiftmaster,id,trueAlign_shiftassig_shift_id_97eae7b7_fk_trueAlign
trueAlign_shiftassignment,user_id,auth_user,id,trueAlign_shiftassignment_user_id_24ba47d7_fk_auth_user_id
trueAlign_shiftconflict,assignment_id,trueAlign_shiftassignment,id,fk_shiftconflict_assignment
trueAlign_shiftconflict,conflicting_assignment_id,trueAlign_shiftassignment,id,fk_shiftconflict_conflicting_assignment
trueAlign_shiftconflict,resolved_by,auth_user,id,fk_shiftconflict_resolved_by
trueAlign_shiftmaster,created_by_id,auth_user,id,fk_shiftmaster_created_by
trueAlign_shiftvalidationrule,group_id,auth_group,id,fk_shiftvalidationrule_group
trueAlign_statuslog,changed_by_id,auth_user,id,trueAlign_statuslog_changed_by_id_5eec04f0_fk_auth_user_id
trueAlign_statuslog,changed_by_id,auth_user,id,fk_statuslog_user
trueAlign_statuslog,ticket_id,trueAlign_support,id,trueAlign_statuslog_ticket_id_1f656ca2_fk_trueAlign_support_id
trueAlign_statuslog,ticket_id,trueAlign_support,id,fk_statuslog_ticket
trueAlign_support,assigned_to_user_id,auth_user,id,trueAlign_support_assigned_to_user_id_5c14c839_fk_auth_user_id
trueAlign_support,assigned_to_user_id,auth_user,id,fk_support_assigned_user
trueAlign_support,parent_ticket_id,trueAlign_support,id,trueAlign_support_parent_ticket_id_81413f37_fk_trueAlign
trueAlign_support,parent_ticket_id,trueAlign_support,id,fk_support_parent_ticket
trueAlign_support,user_id,auth_user,id,trueAlign_support_user_id_be914a5a_fk_auth_user_id
trueAlign_support_cc_users,support_id,trueAlign_support,id,fk_support_cc_users_support
trueAlign_support_cc_users,user_id,auth_user,id,fk_support_cc_users_user
trueAlign_ticketactivity,ticket_id,trueAlign_support,id,trueAlign_ticketacti_ticket_id_812010d6_fk_trueAlign
trueAlign_ticketactivity,ticket_id,trueAlign_support,id,fk_ticketactivity_ticket
trueAlign_ticketactivity,user_id,auth_user,id,trueAlign_ticketactivity_user_id_39616151_fk_auth_user_id
trueAlign_ticketattachment,ticket_id,trueAlign_support,id,trueAlign_ticketatta_ticket_id_84e3681b_fk_trueAlign
trueAlign_ticketattachment,ticket_id,trueAlign_support,id,fk_ticketattachment_ticket
